orange,-0.19546,-0.18287
apple,0.1432,0.2236
banana,-0.24019,0.26
peach,0.23747,0.2494
pear,0.090639,0.37955
apricot,0.18646,-0.13536
tangerine,-0.20306,-0.22085
plum,0.13386,0.039443
grapes,0.048029,-0.15462
strawberry,0.18345,-0.33401
grapefruit,-0.4205,-0.15899
pineapple,-0.27782,-8.70E-05
blueberry,0.063097,-0.36413
lemon,-0.20874,-0.33582
watermelon,-0.42037,0.011592
honeydew,-0.3688,0.20517
pomegranate,-0.034269,0.13464
date,0.5001,0.2103
coconut,-0.15821,0.40945
tomato,0.402,-0.022442
olive,0.53913,-0.21396